	SRR1	SRR2	SRR3	SRR4	SRR5	SRR6	SRR7	SRR8
ENSG0000000001	114	105	118	118	277	307	300	270
ENSG0000000002	48	33	44	57	95	97	125	85
ENSG0000000003	131	139	169	155	327	302	292	392
ENSG0000000004	484	557	540	545	1447	1350	1315	1455
ENSG0000000005	32	27	26	39	100	100	90	107
ENSG0000000006	47	28	40	64	95	72	85	57
ENSG0000000007	623	550	640	646	1462	1272	1337	1480
ENSG0000000008	205	176	170	161	435	432	442	442
ENSG0000000009	30	23	26	40	55	50	45	75
ENSG0000000010	145	138	106	122	302	295	272	272
ENSG0000000011	24	22	23	22	107	32	85	70
ENSG0000000012	18	23	19	33	30	72	80	60
ENSG0000000013	75	53	72	63	197	197	160	180
ENSG0000000014	5	6	2	4	2	7	5	5
ENSG0000000015	4	6	3	5	5	15	7	22
ENSG0000000016	22	26	34	22	70	52	62	67
ENSG0000000017	11	17	9	8	10	20	27	7
ENSG0000000018	99	70	77	93	237	257	227	197
ENSG0000000019	12	11	21	17	10	25	27	37
ENSG0000000020	4	9	9	6	2	5	0	27
ENSG0000000021	488	537	420	505	1145	1272	1197	1200
ENSG0000000022	25	31	47	32	100	97	125	100
ENSG0000000023	52	76	50	97	125	155	147	172
ENSG0000000024	8	4	4	1	27	7	10	15
ENSG0000000025	30	24	25	25	67	85	67	72
ENSG0000000026	72	65	111	61	140	170	210	142
ENSG0000000027	5	10	5	13	12	37	22	10
ENSG0000000028	85	80	91	77	242	270	167	285
ENSG0000000029	25	20	24	23	77	67	35	50
ENSG0000000030	31	36	36	36	95	97	92	80
ENSG0000000031	29	28	12	18	75	50	47	50
ENSG0000000032	909	920	838	884	2250	2237	2165	2080
ENSG0000000033	52	65	60	77	70	135	122	152
ENSG0000000034	16	15	25	6	22	30	15	20
ENSG0000000035	170	211	199	179	540	562	455	450
ENSG0000000036	2	10	9	13	7	47	17	35
ENSG0000000037	72	70	87	83	182	162	155	195
ENSG0000000038	0	4	3	2	17	5	0	0
ENSG0000000039	4	7	5	16	5	17	20	22
ENSG0000000040	65	95	62	96	190	122	227	172
ENSG0000000041	169	144	193	142	427	387	402	522
ENSG0000000042	73	63	68	97	162	215	160	155
ENSG0000000043	43	60	39	40	120	105	85	120
ENSG0000000044	48	35	32	33	82	105	107	82
ENSG0000000045	7	6	7	4	30	27	25	12
ENSG0000000046	26	21	18	11	52	27	37	45
ENSG0000000047	20	25	24	26	72	87	127	47
ENSG0000000048	289	241	233	269	572	690	595	695
ENSG0000000049	94	70	83	95	165	185	217	215
ENSG0000000050	3	5	1	12	10	7	5	5
ENSG0000000051	99	103	88	91	265	237	215	207
ENSG0000000052	30	46	27	21	65	65	122	72
ENSG0000000053	16	28	12	15	60	65	65	50
ENSG0000000054	162	117	128	165	300	382	320	305
ENSG0000000055	286	257	256	263	590	670	657	667
ENSG0000000056	237	204	213	264	540	542	522	520
ENSG0000000057	21	23	21	12	30	35	37	22
ENSG0000000058	46	22	25	41	82	85	85	60
ENSG0000000059	67	71	98	107	245	225	215	185
ENSG0000000060	260	242	233	243	637	642	617	505
ENSG0000000061	28	23	25	26	70	70	80	27
ENSG0000000062	46	46	38	41	80	90	122	85
ENSG0000000063	17	10	15	12	32	22	25	42
ENSG0000000064	19	10	12	12	22	5	27	17
ENSG0000000065	163	168	171	185	482	500	485	462
ENSG0000000066	402	428	463	435	1047	1042	1080	1045
ENSG0000000067	45	45	37	43	150	140	85	120
ENSG0000000068	260	294	272	234	605	607	710	630
ENSG0000000069	104	80	103	96	250	152	265	197
ENSG0000000070	18	26	22	21	77	87	67	52
ENSG0000000071	98	110	122	93	242	270	200	252
ENSG0000000072	567	574	608	568	1297	1362	1242	1310
ENSG0000000073	58	39	76	59	130	157	112	115
ENSG0000000074	556	558	625	532	1442	1467	1417	1427
ENSG0000000075	0	1	2	2	5	0	2	5
ENSG0000000076	163	190	195	203	525	455	392	487
ENSG0000000077	83	55	42	65	97	132	157	205
ENSG0000000078	27	40	32	32	85	87	102	105
ENSG0000000079	80	74	96	69	170	117	210	172
ENSG0000000080	2	2	3	2	7	5	5	12
ENSG0000000081	30	25	50	39	95	115	117	115
ENSG0000000082	93	83	102	107	212	220	222	307
ENSG0000000083	513	500	451	503	1355	1235	1272	1217
ENSG0000000084	30	20	27	30	102	90	80	95
ENSG0000000085	19	18	12	13	45	35	20	62
ENSG0000000086	42	28	40	19	100	62	80	82
ENSG0000000087	222	210	202	224	530	555	512	517
ENSG0000000088	98	65	85	86	230	275	247	210
ENSG0000000089	26	20	39	21	62	77	60	37
ENSG0000000090	107	131	87	133	312	222	362	262
ENSG0000000091	57	56	66	44	162	175	185	172
ENSG0000000092	256	231	270	199	555	610	540	550
ENSG0000000093	19	16	22	20	37	60	30	47
ENSG0000000094	26	36	43	32	80	87	72	67
ENSG0000000095	30	46	16	42	102	60	87	122
ENSG0000000096	4	12	4	4	22	5	22	27
ENSG0000000097	73	71	66	89	225	200	200	220
ENSG0000000098	88	74	79	66	207	242	230	190
ENSG0000000099	36	60	47	29	122	110	112	212
ENSG0000000100	36	51	45	37	77	100	67	105
ENSG0000000101	3	5	6	13	3	2	1	1
ENSG0000000102	25	34	20	31	7	8	6	11
ENSG0000000103	29	29	36	24	8	10	12	8
ENSG0000000104	16	19	18	24	5	5	3	2
ENSG0000000105	56	50	61	48	15	15	15	19
ENSG0000000106	93	81	126	76	36	40	46	37
ENSG0000000107	968	903	879	941	342	332	347	300
ENSG0000000108	97	75	55	48	26	30	26	19
ENSG0000000109	68	87	78	75	31	26	30	30
ENSG0000000110	48	36	54	45	16	17	10	22
ENSG0000000111	3	0	5	4	1	1	2	1
ENSG0000000112	85	51	40	53	21	21	19	15
ENSG0000000113	59	51	93	64	27	22	18	20
ENSG0000000114	2119	2101	2190	2193	803	714	768	781
ENSG0000000115	27	54	61	38	9	13	8	15
ENSG0000000116	92	80	88	112	26	26	26	37
ENSG0000000117	51	67	45	60	17	11	14	13
ENSG0000000118	15	10	9	10	4	1	3	4
ENSG0000000119	321	319	298	301	111	99	105	106
ENSG0000000120	155	134	165	174	59	68	60	73
ENSG0000000121	168	172	176	166	64	54	62	51
ENSG0000000122	11	21	10	13	3	5	2	2
ENSG0000000123	494	382	445	452	128	149	162	159
ENSG0000000124	4	4	7	6	1	2	0	2
ENSG0000000125	143	118	140	133	46	48	46	47
ENSG0000000126	1443	1459	1514	1557	504	500	514	501
ENSG0000000127	8	12	10	17	3	2	3	2
ENSG0000000128	33	20	19	22	6	9	8	10
ENSG0000000129	53	58	93	60	22	19	22	34
ENSG0000000130	23	27	24	32	11	14	7	7
ENSG0000000131	10	5	5	10	2	3	0	1
ENSG0000000132	54	66	58	69	25	25	23	20
ENSG0000000133	8	12	11	10	6	3	6	1
ENSG0000000134	127	102	113	112	28	39	26	41
ENSG0000000135	11	22	14	15	3	2	6	3
ENSG0000000136	530	601	530	549	178	216	195	201
ENSG0000000137	12	30	21	19	3	5	8	5
ENSG0000000138	44	30	35	16	10	19	12	15
ENSG0000000139	210	178	168	193	54	61	67	66
ENSG0000000140	14	13	6	12	2	2	2	3
ENSG0000000141	66	63	74	87	19	27	23	27
ENSG0000000142	379	345	399	408	131	130	126	134
ENSG0000000143	5	2	6	6	0	0	0	2
ENSG0000000144	63	86	74	60	20	27	16	32
ENSG0000000145	73	64	70	98	32	24	35	29
ENSG0000000146	183	153	143	182	50	57	59	74
ENSG0000000147	9	5	3	13	1	1	2	2
ENSG0000000148	12	9	5	4	2	3	2	2
ENSG0000000149	102	98	142	118	46	34	56	38
ENSG0000000150	87	85	69	82	32	35	33	33
ENSG0000000151	77	71	85	74	29	26	27	27
ENSG0000000152	95	73	107	103	28	32	33	35
ENSG0000000153	30	27	17	14	5	8	2	5
ENSG0000000154	71	64	67	89	28	19	24	26
ENSG0000000155	88	93	97	76	33	28	30	31
ENSG0000000156	8	18	26	15	5	4	8	7
ENSG0000000157	974	900	830	910	309	295	308	294
ENSG0000000158	129	108	123	134	46	47	45	35
ENSG0000000159	11	10	6	13	0	2	4	2
ENSG0000000160	145	150	143	168	55	47	42	47
ENSG0000000161	9	10	16	8	6	3	7	3
ENSG0000000162	159	168	179	171	62	62	67	45
ENSG0000000163	325	284	308	311	94	113	111	102
ENSG0000000164	21	12	16	10	0	5	3	3
ENSG0000000165	245	230	214	282	67	68	74	82
ENSG0000000166	103	82	90	103	32	34	22	35
ENSG0000000167	202	212	169	209	65	66	65	68
ENSG0000000168	1042	935	956	979	325	318	316	340
ENSG0000000169	29	35	33	45	9	10	8	15
ENSG0000000170	9	25	21	20	6	5	5	3
ENSG0000000171	13	11	11	18	3	3	6	3
ENSG0000000172	10	14	14	13	4	5	5	4
ENSG0000000173	66	51	42	45	18	15	20	17
ENSG0000000174	119	88	75	106	30	33	31	35
ENSG0000000175	79	71	78	73	28	34	24	29
ENSG0000000176	204	192	175	199	74	66	55	68
ENSG0000000177	54	47	70	69	21	15	15	21
ENSG0000000178	492	437	458	493	165	171	153	182
ENSG0000000179	38	37	31	40	7	11	12	13
ENSG0000000180	3163	3247	3307	3179	1120	1167	1156	1176
ENSG0000000181	142	145	124	128	50	42	36	51
ENSG0000000182	19	21	17	18	7	1	8	6
ENSG0000000183	14	15	13	10	3	5	2	5
ENSG0000000184	121	138	105	121	35	35	43	44
ENSG0000000185	38	42	42	45	13	16	11	11
ENSG0000000186	151	156	135	149	67	58	52	56
ENSG0000000187	132	101	128	123	33	40	36	40
ENSG0000000188	59	48	45	46	18	13	14	21
ENSG0000000189	7	17	11	15	7	4	6	6
ENSG0000000190	2	6	8	8	2	2	1	1
ENSG0000000191	7	33	28	26	8	9	14	7
ENSG0000000192	219	219	196	164	75	77	70	73
ENSG0000000193	75	68	79	78	25	28	26	22
ENSG0000000194	7	6	9	14	2	3	6	3
ENSG0000000195	67	43	66	73	21	24	21	25
ENSG0000000196	103	98	90	116	40	23	37	35
ENSG0000000197	24	25	10	10	4	3	3	8
ENSG0000000198	57	44	74	63	30	22	22	30
ENSG0000000199	66	61	64	68	26	20	18	12
ENSG0000000200	9	13	2	6	4	2	1	2
ENSG0000000201	113	104	77	77	101	78	83	106
ENSG0000000202	147	119	129	122	125	120	136	127
ENSG0000000203	260	302	291	250	277	282	231	225
ENSG0000000204	282	255	263	296	260	294	251	308
ENSG0000000205	13	7	4	10	8	10	1	6
ENSG0000000206	6	14	9	10	4	7	8	8
ENSG0000000207	119	132	120	120	100	125	136	123
ENSG0000000208	143	100	92	137	116	99	103	109
ENSG0000000209	98	121	105	117	113	120	133	128
ENSG0000000210	17656	17762	17629	17858	17954	17792	17653	17305
ENSG0000000211	117	139	137	148	153	133	131	151
ENSG0000000212	294	318	343	312	284	314	321	302
ENSG0000000213	258	205	222	203	227	277	202	227
ENSG0000000214	158	151	169	117	131	134	125	154
ENSG0000000215	43	30	24	25	31	36	38	45
ENSG0000000216	193	186	147	152	119	167	178	164
ENSG0000000217	20	22	14	17	15	33	23	16
ENSG0000000218	30	39	42	16	41	42	24	45
ENSG0000000219	14	21	27	18	24	15	20	30
ENSG0000000220	65	58	74	54	50	53	71	63
ENSG0000000221	1620	1775	1787	1694	1729	1801	1743	1791
ENSG0000000222	5	1	3	1	2	6	0	1
ENSG0000000223	162	160	153	147	140	140	118	155
ENSG0000000224	0	1	4	3	5	3	2	11
ENSG0000000225	42	29	18	36	26	28	49	15
ENSG0000000226	287	226	284	288	260	243	274	246
ENSG0000000227	55	70	58	70	51	62	51	72
ENSG0000000228	7	11	12	4	4	12	20	10
ENSG0000000229	15	21	14	15	10	28	22	13
ENSG0000000230	139	135	163	189	149	165	150	156
ENSG0000000231	3	19	14	16	30	17	17	19
ENSG0000000232	62	86	75	80	103	73	84	91
ENSG0000000233	51	71	60	74	57	55	63	56
ENSG0000000234	29	24	12	16	17	12	9	23
ENSG0000000235	1393	1416	1366	1283	1328	1380	1442	1356
ENSG0000000236	129	158	139	132	129	178	126	169
ENSG0000000237	0	6	1	5	2	2	4	3
ENSG0000000238	70	101	69	52	62	89	74	74
ENSG0000000239	12	15	26	38	27	17	20	24
ENSG0000000240	183	183	208	188	204	207	185	202
ENSG0000000241	14	16	12	16	15	28	26	28
ENSG0000000242	49	56	30	38	53	39	41	42
ENSG0000000243	106	104	98	116	144	97	98	103
ENSG0000000244	200	185	182	196	197	170	191	224
