,baseMean,log2FoldChange,pvalue,padj,symbol
ENSG0000000180,2190.375,-1.4804697979620374,6.312340357788839e-10,9.468510536683258e-06,GENE_179
ENSG0000000168,652.375,-1.5875436810355605,8.502548794781727e-08,0.0002550764638434518,GENE_167
ENSG0000000119,208.5,-1.548291550027421,5.296815902076506e-08,0.0002550764638434518,GENE_118
ENSG0000000072,942.0,1.1679207300626457,7.533093097171927e-08,0.0002550764638434518,GENE_71
ENSG0000000032,1536.375,1.2971232964130748,6.944834591016559e-08,0.0002550764638434518,GENE_31
ENSG0000000087,372.5,1.2969428149032383,2.5168034873630714e-07,0.0006292008718407679,GENE_86
ENSG0000000083,881.75,1.3667524544049585,3.768307161126772e-07,0.0008074943916700226,GENE_82
ENSG0000000065,328.0,1.4840840218229772,5.750594063564081e-07,0.0008806030533540513,GENE_64
ENSG0000000001,202.125,1.3350691945754285,5.870687022360342e-07,0.0008806030533540513,GENE_0
ENSG0000000004,962.625,1.3870828855433763,5.759214736375827e-07,0.0008806030533540513,GENE_3
ENSG0000000055,456.75,1.2796301792333318,6.603655952158002e-07,0.0009004985389306367,GENE_54
ENSG0000000178,319.875,-1.48083955767459,8.556880932556331e-07,0.0010696101165695413,GENE_177
ENSG0000000107,627.5,-1.4795820046955894,1.0568771613384674e-06,0.0011323683871483578,GENE_106
ENSG0000000126,1000.0,-1.5629252228673225,1.0244995497976122e-06,0.0011323683871483578,GENE_125
ENSG0000000136,376.0,-1.4794443096385945,1.8672070020083554e-06,0.0018672070020083554,GENE_135
ENSG0000000114,1459.625,-1.4872718132322789,2.1311573943059786e-06,0.001997960057161855,GENE_113
ENSG0000000163,207.0,-1.538866086131702,2.8486997256079453e-06,0.0025135585814187755,GENE_162
ENSG0000000030,63.875,1.3636906192786233,3.6310245178962603e-06,0.003013941929186703,GENE_29
ENSG0000000139,125.625,-1.5792261311720117,3.817659776969824e-06,0.003013941929186703,GENE_138
ENSG0000000007,1002.25,1.1733702837774933,4.313602058476885e-06,0.003081144327483489,GENE_6
